SetNumber	PartID	Quantity	Colour	Category	DesignID	PartName	ImageURL	SetCount
45544-1	4211815	14	Medium Stone Grey	Technic: Connectors	4519	Cross Axle 3M	http://cache.lego.com/media/bricks/5/1/4211815.jpg	748
45544-1	4502595	2	Medium Stone Grey	Technic: Connectors	57585	3-Branch Cross Axle W/Cross H.	http://cache.lego.com/media/bricks/5/1/4502595.jpg	79
45544-1	4526985	4	Medium Stone Grey	Technic: Connectors	62462	Tube W/Double Ø4.85	http://cache.lego.com/media/bricks/5/1/4526985.jpg	128
45544-1	4535768	2	Medium Stone Grey	Technic: Connectors	60485	Cross Axle 9M	http://cache.lego.com/media/bricks/5/1/4535768.jpg	107
45544-1	4652235	2	Medium Stone Grey	Technic: Functional Elements	99009	Lower Part For Turntable Z28	http://cache.lego.com/media/bricks/5/1/4652235.jpg	14
45544-1	4211510	2	Medium Stone Grey	Technic: Functional Elements, Gear Wheels And Racks	4716	Worm	http://cache.lego.com/media/bricks/5/1/4211510.jpg	80
45544-1	4285634	2	Medium Stone Grey	Technic: Functional Elements, Gear Wheels And Racks	3649	Gear Wheel 40T	http://cache.lego.com/media/bricks/5/1/4285634.jpg	51
45544-1	4640536	4	Medium Stone Grey	Technic: Functional Elements, Gear Wheels And Racks	94925	Gear Wheel Z16	http://cache.lego.com/media/bricks/5/1/4640536.jpg	73
45544-1	6009019	4	Medium Stone Grey	Technic: Half Beams	99773	Triangel	http://cache.lego.com/media/bricks/5/1/6009019.jpg	12
45544-1	6079570	1	Not specified	System: Electric Parts	99948	Steel Ball	http://cache.lego.com/media/bricks/5/1/6079570.jpg	1
45544-1	6031821	2	Sand Yellow	Technic: Connectors	13670	Crossaxle 3M With Knob	http://cache.lego.com/media/bricks/5/1/6031821.jpg	228
45544-1	6009996	1	White	System: Electric Parts	95646	Ms-Ev3, P-Brick	http://cache.lego.com/media/bricks/5/1/6009996.jpg	3
45544-1	4495412	4	White	Technic: Beams	32009	Double Angular Beam 3X7 45°	http://cache.lego.com/media/bricks/5/1/4495412.jpg	17
45544-1	4509912	6	White	Technic: Beams	32348	Technic Angular Beam 4X4	http://cache.lego.com/media/bricks/5/1/4509912.jpg	7
45544-1	4542578	6	White	Technic: Beams	64871	Technic 15M Beam	http://cache.lego.com/media/bricks/5/1/4542578.jpg	19
45544-1	4585040	4	White	Technic: Beams	32526	Technic Ang. Beam 3X5 90 Deg.	http://cache.lego.com/media/bricks/5/1/4585040.jpg	13
45544-1	4173941	4	White	Technic: Decoration Elements	41669	Bion. Eye	http://cache.lego.com/media/bricks/5/1/4173941.jpg	23
